,level_0,index,KID,Prot,Kepmag,B-V,Scatter,Var,Notes1,Notes2,Notes3,peak_SDR,dip_SDR
0,0,0,2582166,20.659000000000002,12.606,0.647,0.99,Faculae,0,0,0,-0.9572480195790501,-0.9572480195790501
1,1,2,3539172,17.91,13.917,0.7070000000000001,1.5,Faculae,0,0,0,-0.31361912297200173,-0.3399480616943509
2,2,3,3839042,16.088,12.370999999999999,0.581,1.21,Faculae,0,0,0,-0.5535096005831172,-0.6159957692712549
3,3,4,3965916,23.713,13.617,0.6579999999999999,1.85,Faculae,0,0,0,0.146128035678238,0.4259687322722811
4,4,5,4274884,14.447000000000001,12.297,0.618,0.63,Faculae,0,0,0,-1.307496037913213,-1.470872305442661
5,5,6,4384825,2.276,13.73,0.579,1.54,Faculae,0,0,0,-0.3130610830855167,-0.3252084734086843
6,6,7,4555711,17.031,14.252,0.655,1.33,Faculae,0,0,0,-1.1505371545832932,-1.2596373105057561
7,7,8,4947394,7.4910000000000005,14.817,0.636,2.7,Faculae,0,0,0,-0.2880650184996136,-0.3043077054252171
8,8,10,6205852,19.637999999999998,12.209000000000001,0.595,0.97,Faculae,0,0,0,-1.130333768495006,-1.130333768495006
9,9,11,6370015,20.22,13.418,0.6920000000000001,1.13,Faculae,0,0,0,-0.05115252244738131,-0.08543019532462635
10,10,12,6550516,18.135,13.449000000000002,0.634,1.8,Faculae,0,0,0,-0.8300690496491372,-0.8796088911424207
11,11,14,6966557,10.823,12.911,0.627,0.81,Faculae,0,0,0,-1.2452222669461557,-1.3039156839014694
12,12,15,7022813,17.317999999999998,14.745999999999999,0.6409999999999999,1.68,Faculae,0,0,0,-0.7387805584843692,-0.7217472191855888
13,13,16,7032218,16.090999999999998,12.946,0.617,1.74,Faculae,0,0,0,-1.3404441148401183,-1.3901497642457858
14,14,17,7221039,4.462,14.187999999999999,0.662,7.05,Faculae,0,0,0,-0.18247805771708192,-0.19048907975632373
15,15,19,7465661,2.366,12.681,0.636,0.64,Faculae,0,0,0,-0.9269146702659565,-0.905038372861514
16,16,21,7684838,18.265,13.657,0.66,1.34,Faculae,0,0,0,-1.7577754910119257,-1.7577754910119257
17,17,22,7771531,15.145999999999999,13.783,0.598,1.83,Faculae,0,0,0,-1.0957503474808177,-1.063051745747089
18,18,23,8043775,17.835,15.059000000000001,0.649,1.92,Faculae,0,0,0,0.04139268515822508,0.027152246043614776
19,19,24,8078753,18.932000000000002,12.368,0.601,0.64,Faculae,0,0,1,0.5228787452803376,0.47712125471966244
20,20,26,8298968,10.806,15.267999999999999,0.6890000000000001,6.4,Faculae,0,0,0,-1.515211304327802,-1.574857708475501
21,21,27,9094773,10.338,12.242,0.562,1.04,Faculae,0,0,1,-1.7363965022766423,-1.554960012891778
22,22,28,9138680,18.807000000000002,11.514000000000001,0.636,0.78,Faculae,0,0,1,-1.2596373105057561,-1.1805228738547562
23,23,29,9716103,2.801,14.869000000000002,0.564,4.24,Faculae,0,0,0,1.4024876364227583,1.2425782344751004
24,24,31,9893470,15.606,10.603,0.597,0.68,Faculae,0,0,0,-1.9837765880368854,-2.0
25,25,32,10031308,15.547,12.713,0.627,0.42,Faculae,0,0,0,-1.1864940194554485,-1.1839165965676377
26,26,33,10593790,21.857,15.548,0.71,2.29,Faculae,0,0,0,0.184524426592544,0.16749108729376372
27,27,34,10611358,15.185,15.555,0.727,8.53,Faculae,0,0,1,-1.5932860670204572,-1.5096504795465824
28,28,35,10718853,15.987,12.447000000000001,0.629,2.31,Faculae,0,0,0,-1.7442929831226763,-1.7423322823571483
29,29,36,10733905,16.283,13.958,0.604,0.92,Faculae,0,0,0,-0.08813608870055126,-0.10790539730951958
30,30,37,10790803,19.701,13.092,0.623,1.68,Faculae,0,0,1,-1.8827142276202256,-2.0
31,31,38,10935517,20.073,12.8,0.633,1.03,Faculae,0,0,0,-0.3258535793890133,-0.47712125471966244
32,32,39,11014223,12.027999999999999,13.349,0.6409999999999999,9.9,Faculae,0,1,0,-1.8588378514285855,-1.9837765880368854
33,33,40,11029378,10.754000000000001,15.334000000000001,0.664,7.77,Faculae,0,0,1,-1.614294447744974,-1.614294447744974
34,34,41,11082584,11.263,14.257,0.655,7.5,Faculae,0,0,1,-1.760422483423212,-1.8588378514285855
35,35,42,11235827,18.930999999999997,14.202,0.628,0.89,Faculae,0,0,1,0.24303804868629444,0.04139268515822508
36,36,43,11360892,5.7,12.895,0.586,1.24,Faculae,0,0,0,-0.8472695169476909,-0.8312079796858183
37,37,44,11394841,6.337999999999999,14.635,0.5720000000000001,2.24,Faculae,0,0,1,-0.5059475808983684,-0.5209001792982497
38,38,45,11447497,17.36,15.424000000000001,0.66,2.49,Faculae,0,0,0,0.6532125137753437,0.5563025007672873
39,39,46,11455711,13.129000000000001,13.955,0.6559999999999999,4.01,Faculae,0,0,1,-1.8527848686805477,-1.6766936096248666
40,40,49,11618709,18.564,11.927,0.565,0.89,Faculae,0,0,1,-1.4273237863572472,-1.376171263909866
41,41,50,12061108,22.076,13.421,0.5920000000000001,0.86,Faculae,0,0,0,0.28254658996996806,0.1962946451439682
42,42,51,12062079,21.139,13.927,0.662,2.14,Faculae,0,0,0,-0.5228787452803376,-0.5488144793747374
