,level_0,index,KID,Prot,Kepmag,B-V,Scatter,Var,Notes1,Notes2,Notes3,peak_SDR,dip_SDR
0,0,226,11454524,21.4,15.722999999999999,0.632,2.52,Spots,0,0,1,2.0,2.0
1,1,14,3355907,18.346,13.41,0.6659999999999999,4.39,Spots,0,0,0,-1.5705429398818975,-1.5705429398818975
2,2,2,2581014,16.418,13.62,0.6779999999999999,0.92,Spots,0,0,0,-0.5563025007672873,-0.5710257575879936
3,3,150,8949512,23.855999999999998,14.694,0.604,1.51,Spots,0,0,0,0.3010299956639812,0.5563025007672873
4,4,18,3747974,13.532,13.649000000000001,0.616,8.25,Spots,0,0,1,-1.9807606420143298,-1.9807606420143298
5,5,38,4939764,1.6,14.155,0.594,1.88,Spots,0,0,0,0.2853557490651537,0.2489172816207291
6,6,12,3339737,17.303,14.436,0.674,2.68,Spots,0,0,1,-1.8920946026904804,-1.7671558660821804
7,7,31,4555566,7.362,14.892000000000001,0.71,7.94,Spots,0,1,0,-0.9217567553578396,-0.9784157081953274
8,8,49,5106550,20.01,15.487,0.7340000000000001,5.1,Spots,0,0,0,0.1549019599857432,0.11539341870206957
9,9,123,7969984,19.762999999999998,12.309000000000001,0.652,2.19,Spots,0,0,0,-2.0,-2.0
10,10,19,3748982,17.951,15.169,0.6990000000000001,3.98,Spots,0,0,0,-0.7814289601448796,-0.8081144737610868
11,11,5,2720200,10.845999999999998,14.882,0.6970000000000001,6.83,Spots,0,0,0,-1.7543483357110188,-1.6066883955100335
12,12,28,4271582,16.551,13.554,0.631,1.97,Spots,0,0,0,-0.631443769013172,-0.585669575139793
13,13,32,4649302,15.788,14.388,0.578,1.98,Spots,0,0,0,-1.1783127190496392,-1.1094660499520925
14,14,13,3348273,4.2810000000000015,15.335,0.636,7.88,Spots,0,0,0,0.8934843462184862,0.8465058029386472
15,15,91,7017862,2.053,13.128,0.611,6.96,Spots,0,0,1,0.6253834199105863,0.6472703637791466
16,16,61,5597879,17.972,13.078,0.638,3.49,Spots,0,0,1,-1.479527324485541,-1.481920137601431
17,17,17,3641346,14.722000000000001,13.17,0.575,1.1,Spots,0,0,0,-1.4471580313422192,-1.4454312120417132
18,18,64,5693869,18.278,14.257,0.625,1.55,Spots,0,0,0,-0.6497519816658371,-0.6922366216770504
19,19,0,2013503,19.065,13.759,0.701,6.62,Spots,0,0,0,-1.8750612633917,-1.8769871844277386
20,20,11,3241761,11.210999999999999,13.195,0.609,6.72,Spots,0,0,0,-1.697519937940786,-1.7781512503836436
21,21,9,3112131,9.655,13.975999999999999,0.635,6.63,Spots,0,0,0,-1.637775543594497,-1.4771212547196624
22,22,27,4252390,19.489,13.944,0.628,1.41,Spots,0,0,0,-1.1864940194554485,-1.1487054585660488
23,23,128,8043142,3.238,13.745,0.624,4.7,Spots,0,1,0,0.5569979284289385,0.5475657369357099
24,24,92,7033063,15.62,14.368,0.619,8.11,Spots,0,0,1,-1.9277124619002757,-1.9277124619002757
25,25,103,7175289,16.199,14.731,0.68,6.6,Spots,0,0,0,-1.501254934436382,-1.570153612664517
26,26,33,4726114,22.408,13.095999999999998,0.711,3.33,Spots,0,1,0,-0.9294189257142927,-1.048512426281173
27,27,48,5096578,15.091,15.133,0.593,2.11,Spots,0,0,0,-1.8129133566428555,-1.9395192526186185
28,28,141,8557980,16.004,13.157,0.5710000000000001,2.66,Spots,0,0,0,-1.8527848686805477,-1.8512583487190752
29,29,151,8952407,16.368,15.407,0.662,6.65,Spots,0,0,0,-1.193552685606376,-1.2304489213782739
30,30,222,11305962,19.94,14.647,0.691,3.48,Spots,0,0,0,-1.1613680022349748,-1.1588648570811706
31,31,228,11455145,19.548,12.994000000000002,0.575,0.92,Spots,0,0,1,0.13830269816628146,-0.03103423373996879
32,32,8,3100219,11.925,11.283,0.706,2.48,Spots,0,0,0,-1.8976270912904414,-1.8962505624616381
33,33,21,3942959,10.655999999999999,13.633,0.6459999999999999,6.34,Spots,0,0,0,-1.6420403354629296,-1.7103994661168007
34,34,45,5017876,10.507,13.713,0.62,6.71,Spots,0,0,0,-1.4313637641589874,-1.4313637641589874
35,35,66,5717832,19.371,14.628,0.647,2.43,Spots,0,0,0,0.5118833609788743,0.38021124171160603
36,36,42,5003319,6.266,14.841,0.69,5.56,Spots,0,0,0,-0.9323793630939311,-0.9212133877659019
37,37,54,5295397,6.32,13.337,0.598,7.76,Spots,0,0,0,-0.834225009420295,-0.8947493702240839
38,38,58,5450764,16.867,14.967,0.6679999999999999,6.38,Spots,0,1,1,-1.3741370939994129,-1.3242824552976926
39,39,3,2694675,12.65,14.335,0.6890000000000001,3.77,Spots,0,0,1,-1.7092699609758308,-1.7092699609758308
40,40,75,6442389,18.852999999999998,14.673,0.662,2.87,Spots,0,0,0,-1.17871540288183,-1.098244252097121
41,41,267,12119601,21.896,14.235999999999999,0.616,2.67,Spots,0,0,0,-0.16272729749769974,-0.0850107897083487
42,42,255,11919907,20.844,14.677999999999999,0.6409999999999999,2.43,Spots,0,0,0,-0.6368220975871743,-0.6674529528899539
