,nom_time_YYYYMMDD,nom_time_JDN,avg_time_JDN,std_avg_time_days,tsi_1au,instr_acc_tsi_1au,instr_prec_tsi_1au,std_tsi_1au,tot_uncertainty_tsi_1au,tsi_earth,instr_acc_tsi_earth,instr_prec_tsi_earth,std_tsi_earth,tot_uncertainty_tsi_earth,flag
1,20030225.5,2452696,2452696.409,0.0029,1361.4919,0.4765,0.0068,0.03297,0.4777,1389.2020000000002,0.4862,0.0068,0.03385,0.4874,0
2,20030226.5,2452697,2452697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,20030227.5,2452698,2452698.0069999998,0.0769,1361.4594,0.4765,0.0068,0.052379999999999996,0.4794,1388.0933,0.4858,0.0068,0.09312999999999999,0.4947,0
4,20030228.5,2452699,2452699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,20030301.5,2452700,2452700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,20030302.5,2452701,2452701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,20030303.5,2452702,2452702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,20030304.5,2452703,2452703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,20030305.5,2452704,2452703.583,0.0561,1361.3077,0.4765,0.0068,0.03485,0.4777,1384.1028,0.4844,0.0068,0.05035,0.48700000000000004,0
10,20030306.5,2452705,2452705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,20030307.5,2452706,2452706.022,0.4405,1361.3627,0.4765,0.0068,0.06072,0.4803,1382.4496,0.4839,0.0068,0.2971,0.5678,0
12,20030308.5,2452707,2452706.7569999998,0.3628,1361.3407,0.4765,0.0068,0.04702,0.4788,1381.9079,0.4837,0.0068,0.2721,0.555,0
13,20030309.5,2452708,2452707.913,0.4431,1361.3395,0.4765,0.0068,0.03607,0.4778,1381.0869,0.4834,0.0068,0.2968,0.5672,0
14,20030310.5,2452709,2452708.866,0.4368,1361.3523,0.4765,0.0068,0.07887999999999999,0.483,1380.4197,0.4831,0.0068,0.3571,0.6008,0
15,20030311.5,2452710,2452710.3819999998,0.2165,1361.0813,0.4764,0.0068,0.08123999999999999,0.4833,1379.0548,0.4827,0.0068,0.2279,0.5337,0
16,20030312.5,2452711,2452711.037,0.3061,1360.9977,0.4763,0.0068,0.08539,0.4839,1378.4961,0.4825,0.0068,0.2985,0.5674,0
